12850,13045, 0:7:8,0:7:15
22695,23270, 0:12:37,0:12:56
25035,25930, 0:13:55,0:14:25
31600,31920, 0:17:34,0:17:45
32415,33255, 0:18:1,0:18:29
39640,40765, 0:22:2,0:22:40
43470,45200, 0:24:10,0:25:8
47495,48110, 0:26:24,0:26:45
50730,51375, 0:28:12,0:28:34
52145,52770, 0:28:59,0:29:20
58700,59775, 0:32:38,0:33:14
60830,61645, 0:33:49,0:34:16
62055,62375, 0:34:30,0:34:41
66055,66580, 0:36:44,0:37:1
67065,68360, 0:37:17,0:38:0
70195,71005, 0:39:2,0:39:29
73590,74150, 0:40:55,0:41:14
74455,76175, 0:41:24,0:42:21
84040,84265, 0:46:44,0:46:51
