22655,22960, 0:12:35,0:12:46
25365,25660, 0:14:6,0:14:16
26065,26600, 0:14:29,0:14:47
30130,30530, 0:16:45,0:16:58
32635,32995, 0:18:8,0:18:20
33320,33460, 0:18:31,0:18:36
36305,36875, 0:20:11,0:20:30
37235,37465, 0:20:42,0:20:50
37990,38515, 0:21:7,0:21:25
41395,41715, 0:23:1,0:23:11
44095,44440, 0:24:31,0:24:42
47120,47875, 0:26:12,0:26:37
50700,51905, 0:28:11,0:28:51
55400,56985, 0:30:48,0:31:41
58805,59050, 0:32:42,0:32:50
61280,62275, 0:34:4,0:34:37
62940,63420, 0:35:0,0:35:16
70130,70550, 0:39:0,0:39:14
