13445,13580, 0:7:28,0:7:33
20800,21145, 0:11:34,0:11:45
23825,24155, 0:13:14,0:13:25
25460,25975, 0:14:9,0:14:26
31440,32010, 0:17:29,0:17:48
32395,32455, 0:18:0,0:18:2
33195,33300, 0:18:27,0:18:31
36110,36585, 0:20:4,0:20:20
40950,41610, 0:22:46,0:23:8
45305,45970, 0:25:11,0:25:33
51515,53305, 0:28:38,0:29:38
55270,55390, 0:30:44,0:30:48
60900,61130, 0:33:52,0:33:59
61490,61760, 0:34:11,0:34:20
71515,71885, 0:39:46,0:39:58
72870,73365, 0:40:31,0:40:47
74795,75315, 0:41:35,0:41:53
75570,76100, 0:42:1,0:42:19
82085,82610, 0:45:38,0:45:56
83320,83550, 0:46:20,0:46:27
86555,86965, 0:48:8,0:48:21
95850,96870, 0:53:18,0:53:52
97300,97940, 0:54:6,0:54:27
108700,109390, 1:0:26,1:0:49
