13090,13155, 0:7:16,0:7:18
13700,13860, 0:7:37,0:7:42
25750,26660, 0:14:19,0:14:49
29460,30365, 0:16:22,0:16:53
35590,36435, 0:19:47,0:20:15
37745,38740, 0:20:59,0:21:32
45435,46695, 0:25:16,0:25:58
49255,49980, 0:27:23,0:27:47
55670,56400, 0:30:57,0:31:21
56670,57520, 0:31:30,0:31:59
60330,60745, 0:33:33,0:33:46
61880,62410, 0:34:24,0:34:42
64150,64605, 0:35:40,0:35:55
65445,66825, 0:36:23,0:37:9
69945,70550, 0:38:53,0:39:14
71050,71340, 0:39:30,0:39:40
75075,76394, 0:41:45,0:42:29
87033,87183, 0:48:24,0:48:29
