13060,13160, 0:7:15,0:7:19
13545,13800, 0:7:31,0:7:40
21880,22650, 0:12:10,0:12:35
24595,25120, 0:13:40,0:13:58
27330,27740, 0:15:11,0:15:25
32140,32415, 0:17:52,0:18:1
37670,38065, 0:20:56,0:21:10
41395,41965, 0:23:1,0:23:20
43950,44415, 0:24:26,0:24:41
47125,47600, 0:26:12,0:26:28
48520,48840, 0:26:58,0:27:9
52235,52455, 0:29:2,0:29:10
56940,57930, 0:31:39,0:32:12
63620,64030, 0:35:22,0:35:36
65135,65835, 0:36:13,0:36:36
67260,67620, 0:37:24,0:37:36
69690,69765, 0:38:45,0:38:47
79825,80665, 0:44:23,0:44:51
81145,83080, 0:45:7,0:46:12
93090,93300, 0:51:46,0:51:53
