11680,11950, 0:6:29,0:6:38
22225,22315, 0:12:21,0:12:24
22520,23380, 0:12:31,0:13:0
27665,28605, 0:15:23,0:15:54
32635,32695, 0:18:8,0:18:10
32890,33655, 0:18:17,0:18:42
34255,34795, 0:19:2,0:19:20
39255,39850, 0:21:49,0:22:9
40895,41010, 0:22:44,0:22:48
41165,41380, 0:22:53,0:23:0
45540,45970, 0:25:19,0:25:33
48955,49960, 0:27:13,0:27:47
55055,56130, 0:30:37,0:31:12
62220,63315, 0:34:36,0:35:12
63815,64530, 0:35:29,0:35:53
65245,65505, 0:36:17,0:36:25
69245,69710, 0:38:30,0:38:45
74785,75280, 0:41:35,0:41:51
77940,78530, 0:43:20,0:43:40
79420,81685, 0:44:9,0:45:25
89380,89545, 0:49:42,0:49:47
