13245,13380, 0:7:21,0:7:26
14430,14725, 0:8:1,0:8:11
19425,20110, 0:10:48,0:11:11
23570,24605, 0:13:6,0:13:40
28450,28705, 0:15:49,0:15:57
29160,30865, 0:16:12,0:17:9
31300,31835, 0:17:24,0:17:42
37405,38365, 0:20:48,0:21:20
40830,41725, 0:22:42,0:23:12
46575,47600, 0:25:54,0:26:28
48090,48465, 0:26:44,0:26:57
57650,59125, 0:32:3,0:32:52
64385,65130, 0:35:48,0:36:13
66130,67000, 0:36:46,0:37:15
72835,73645, 0:40:30,0:40:57
74155,75255, 0:41:14,0:41:51
76390,78385, 0:42:28,0:43:35
87880,88285, 0:48:52,0:49:5
